Code,Name,Level,Card_type,Color,Form,Attribute,Digimon_type,DP,Play_cost,Digivolve_cost_1,Digivolve_level_1,Digivolve_cost_2,Digivolve_level_2,Effect,Digivolve_effect,Security_effect,Deck_type,Deck_name
ST4-01,Motimon,2,Digi-Egg,Green,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[Your Turn] While this Digimon is level 6 or higher, it gets +1000 DP.",NULL,start deck, Giga Green[St-4]
ST4-02,Floramon,3,Digimon,Green,Rookie,Data,Vegetation,4000,2,1,2,NULL,NULL,NULL,NULL,NULL,start deck, Giga Green[St-4]
ST4-03,Tentomon,3,Digimon,Green,Rookie,Vaccine,Insectoid,2000,3,0,2,NULL,NULL,"[On Play] Reveal the top card of your deck. If it's a green Digimon card, add it to your hand. Otherwise, place it at the bottom of your deck.",NULL,NULL,start deck, Giga Green[St-4]
ST4-04,Palmon,3,Digimon,Green,Rookie,Data,Vegetation,2000,3,0,2,NULL,NULL,NULL,"[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.",NULL,start deck, Giga Green[St-4]
ST4-05,Kunemon,3,Digimon,Green,Rookie,Virus,Larva,5000,4,0,2,NULL,NULL,NULL,NULL,NULL,start deck, Giga Green[St-4]
ST4-06,Togemon,4,Digimon,Green,Champion,Data,Vegetation,4000,4,2,3,NULL,NULL,NULL,"[When Attacking] If you attack an opponent's Digimon, this Digimon gets +2000 DP for the turn.",NULL,start deck, Giga Green[St-4]
ST4-07,Kuwagamon,4,Digimon,Green,Champion,Virus,Insectoid,6000,5,2,3,NULL,NULL,NULL,NULL,NULL,start deck, Giga Green[St-4]
ST4-08,Kabuterimon,4,Digimon,Green,Champion,Vaccine,Insectoid,5000,6,1,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[When Attacking] Lose 2 memory.",NULL,NULL,start deck, Giga Green[St-4]
ST4-09,Okuwamon,5,Digimon,Green,Ultimate,Virus,Insectoid,7000,6,2,4,NULL,NULL,NULL,NULL,NULL,start deck, Giga Green[St-4]
ST4-10,Lillymon,5,Digimon,Green,Ultimate,Data,Fairy,7000,6,3,4,NULL,NULL,[When Digivolving] Reveal the top 5 cards of your deck. Add 1 level 6 or higher Digimon card among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,NULL,start deck, Giga Green[St-4]
ST4-11,MegaKabuterimon,5,Digimon,Green,Ultimate,Vaccine,Insectoid,7000,7,3,4,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When this Digimon deletes an opponent's Digimon in battle and survives, trash the top card of your opponent's security stack.",NULL,start deck, Giga Green[St-4]
ST4-12,Rosemon,6,Digimon,Green,Mega,Data,Fairy,11000,10,3,5,NULL,NULL,[When Digivolving] 1 of your opponent's Digimon can't attack or block until the end of their next turn.,NULL,NULL,start deck, Giga Green[St-4]
ST4-13,HerculesKabuterimon,6,Digimon,Green,Mega,Vaccine,Insectoid,12000,12,4,5,NULL,NULL,"＜Piercing＞ (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[Main] ＜Digi-Burst 2＞ (Trash 2 of this Digimon's Digivolution cards to activate the effect below.)・Suspend 1 of your opponent's Digimon.",NULL,NULL,start deck, Giga Green[St-4]
ST4-14,Izzy Izumi,NULL,Tamer,Green,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,"[Your Turn] When one of your opponent's Digimon becomes suspended, you may suspend this Tamer to gain 1 memory.",NULL,[Security] Play this card without paying its memory cost.,start deck, Giga Green[St-4]
ST4-15,Needle Spray,NULL,Option,Green,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,[Main] Suspend 1 of your opponent's Digimon.,NULL,"[Security] Activate this card's [Main] effect. Then, add this card to your hand.",start deck, Giga Green[St-4]
ST4-16,Electro Shocker,NULL,Option,Green,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,[Main] Return 1 of your opponent's suspended Digimon to its owner's hand. Trash all of the digivolution cards of that Digimon.,NULL,[Security] Activate this card's [Main] effect.,start deck, Giga Green[St-4]
BT4-001,Sakuttomon,2,Digi-Egg,Red,In-Training,NULL,Weapon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If this Digimon is level 7, gain 1 memory.",NULL,booster, Great Legend [Bt-04]
BT4-002,Bukamon,2,Digi-Egg,Blue,In-Training,NULL,Lesser,NULL,NULL,NULL,NULL,NULL,NULL,NULL,[When Attacking] Trash the bottom digivolution card of 1 of your opponent's level 4 or lower Digimon.,NULL,booster, Great Legend [Bt-04]
